"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"表单中心-web","新建表单","正向请求：新建报价类表单","0","0","1","0","0"
"表单中心-web","确认价格","正向请求：确认价格","0","0","1","0","0"
"检测中心-APP","待检测-录入物品信息","正向请求：待检测-录入物品信息（到店单","0","1","0","0","0"
"检测中心-APP","待确认-确认用户信息","正向请求：待确认-确认用户信息：1个步骤（到店单","0","0","1","0","0"
"表单中心-web","新建表单","参数phone类型为非str类型的异常组合","0","0","3","0","0"
"检测中心-APP","检测师接单","正向请求：检测师接单-到店单","0","0","1","0","0"
"表单中心-web","新建表单","参数channelId类型为非str类型的异常组合","0","0","3","0","0"
"表单中心-web","客服派单","正向请求：派单-到店单","0","1","0","0","0"
"表单中心-web","新建表单","正向请求：新建估价类表单","0","0","1","0","0"
"表单中心-web","填写物品信息","正向请求：填写物品信息","0","0","1","0","0"
